[0.04753179 0.38026547]
[0.57422927 0.84923207]
[0.59592652 0.43887978]
[0.26295306 0.79859689]
[0.03441328 0.16694235]
[0.30442246 0.85142722]
[0.87301879 0.50661617]
[0.02381876 0.48539077]
[0.62886924 0.05433876]
[0.78415125 0.23769388]
[0.89854306 0.77863112]
[0.95933333 0.5344805 ]
[0.52627475 0.22498954]
[0.67704295 0.97914173]
[0.17436798 0.16856243]
[0.04514088 0.27563206]
[0.05525881 0.58898367]
[0.72341764 0.49892308]
[0.06695831 0.24932767]
[0.56900737 0.25054742]
[0.87537716 0.56437537]
[0.67867076 0.94846202]
[0.40378974 0.8730003 ]
[0.42847441 0.34517602]
[0.98244613 0.31719311]
[0.94797114 0.82447929]
[0.90826976 0.77529999]
[0.28769947 0.51613737]
[0.0602986  0.42779809]
[0.58943064 0.12984326]
[0.12596525 0.81184936]
[0.46383443 0.07517444]
[0.64853656 0.42868947]
[0.8079399  0.91405909]
[0.64329849 0.94708081]
[0.14668414 0.50791829]
[0.53598563 0.06761028]
[0.47760888 0.35677941]
[0.53522845 0.42942556]
[0.9157568  0.46612614]
[0.29652133 0.49607535]
[0.60721801 0.16233665]
[0.75061573 0.85492715]
[0.44730377 0.38615061]
[0.17261706 0.94479872]
[0.75586881 0.36599705]
[0.14506134 0.76378628]
[0.03977437 0.40182832]
[0.65959215 0.68821591]
[0.03054213 0.69215272]
[0.84771844 0.15151216]
[0.15938488 0.03303712]
[0.06204859 0.23744179]
[0.8979012  0.70641157]
[0.83803933 0.18391827]
[0.75785739 0.93210749]
[0.19538755 0.65470765]
[0.08707359 0.13255693]
[0.2532348  0.18430164]
[0.19945486 0.82267916]
[0.59552426 0.91986293]
[0.96640601 0.86950674]
[0.5420637  0.33647393]
[0.45939561 0.63371124]
[0.96213373 0.89479576]
[0.97879534 0.58988648]
[0.89176753 0.19668702]
[0.07241721 0.44651335]
[0.92090254 0.55124752]
[0.86651215 0.44302889]
[0.03286149 0.82988803]
[0.91104631 0.30649645]
[0.52442633 0.08929765]
[0.87045722 0.22459635]
[0.9426046  0.79780524]
[0.10482165 0.92166133]
[0.26978462 0.87529931]
[0.44125677 0.11891698]
[0.84403399 0.38799364]
[0.40360659 0.71400631]
[0.12239376 0.66670079]
[0.36077014 0.97690351]
[0.90697477 0.12282683]
[0.26880741 0.63541913]
[0.87016919 0.14390776]
[0.34460545 0.53755759]
[0.12510338 0.935197  ]
[0.38071245 0.83477491]
[0.20153731 0.81255448]
[0.82965507 0.41759198]
[0.42539543 0.6029699 ]
[0.05303165 0.31978482]
[0.16113137 0.00665585]
[0.71638559 0.38546838]
[0.76731337 0.04175744]
[0.54816848 0.10925698]
[0.1874006  0.24639271]
[0.60822146 0.94768383]
[0.15221207 0.25388165]
[0.42803695 0.18124806]
[0.63767758 0.58517446]
[0.94218312 0.14703027]
[0.07617167 0.078649  ]
[0.29611102 0.16509676]
[0.84466734 0.35841522]
[0.4050875  0.61083789]
[0.90374739 0.81097954]
[0.68986504 0.64585498]
[0.82831083 0.97932746]
[0.90862107 0.14922051]
[0.69161081 0.32044675]
[0.68530569 0.09470093]
[0.45401711 0.80788416]
[0.76115134 0.06830636]
[0.73281236 0.0779545 ]
[0.38997013 0.88321034]
[0.36872793 0.36485332]
[0.60088155 0.31019617]
[0.97885379 0.50431581]
[0.45345796 0.38185369]
[0.57957744 0.43445433]
[0.33286251 0.21528832]
[0.08287366 0.15630138]
[0.39241849 0.85222406]
[0.82399031 0.84354603]
[0.28055448 0.90491112]
[0.44483092 0.27350915]
[0.83374998 0.87980457]
[0.36519522 0.55493379]
[0.04769726 0.89575466]
[0.61700637 0.17270467]
[0.00658904 0.70734831]
[0.31375771 0.66073553]
[0.66770495 0.70473218]
[0.38613779 0.12953552]
[0.82963588 0.98271314]
[0.42962429 0.05872007]
[0.06456176 0.67772178]
[0.5506284  0.29229881]
[0.49182029 0.77181133]
[0.48469768 0.27723915]
[0.91556783 0.94826276]
[0.45894699 0.6486852 ]
[0.98729999 0.42593496]
[0.9600043 0.5844088]
[0.39176947 0.80332865]
[0.51883349 0.3091614 ]
[0.28978102 0.32289179]
[0.80490288 0.61707035]
[0.60347972 0.89460445]
[0.24713362 0.45127591]
[0.91820212 0.02424776]
[0.9391859  0.60161145]
[0.3285053 0.7226734]
[0.17210366 0.37227632]
[0.20300114 0.25239238]
[0.08566629 0.53913512]
[0.86542658 0.12008472]
[0.1606429  0.63544038]
[0.29364881 0.72339517]
[-0.01182852  0.66593655]
[0.24015257 0.67447787]
[0.66685664 0.59926857]
[0.68986009 0.2828559 ]
[0.51628667 0.66659222]
[0.86662472 0.97070907]
[0.18366382 0.40446878]
[0.47919458 0.94413597]
[0.30911553 0.74646224]
[0.17936124 0.20760607]
[0.16856492 0.13056636]
[0.93440243 0.97568252]
[0.09316736 0.78707956]
[0.29175345 0.20281562]
[0.98192055 0.5656242 ]
[0.03274066 0.33093001]
[0.6779593  0.05160196]
[0.27897469 0.40499356]
[0.27291058 0.19360671]
[-0.00913584  0.5649133 ]
[0.28289967 0.16047697]
[0.34245044 0.02404607]
[0.14159369 0.00356443]
[0.70946324 0.22463826]
[0.07434736 0.55312595]
[0.52951622 0.13759782]
[0.74120843 0.28059025]
[0.07897614 0.7867323 ]
[0.28688923 0.78312866]
[0.41770992 0.85297861]
[-0.01804036  0.60813862]
[0.80074625 0.48653584]
[0.68976906 0.42854241]
[0.51833296 0.14555744]
[0.39766008 0.45134253]
[0.54012038 0.80807782]
[0.33000834 0.02189632]
[0.41577654 0.76194212]
[0.35473406 0.08798347]
[0.39917446 0.23612498]
[0.64608873 0.21634671]
[0.41075934 0.29736473]
[0.93186869 0.47584154]
[0.96339062 0.94583152]
[0.41502027 0.61668981]
