[0.88863135 0.23459289]
[0.49485023 1.0031842 ]
[0.37868553 0.60461807]
[ 0.36665752 -0.01090874]
[0.57217835 0.25317965]
[-0.05094627  0.7215403 ]
[0.53280785 0.97468846]
[0.67980591 0.17905482]
[0.01795768 0.33761944]
[0.99845043 0.67244426]
[0.65358404 0.1273041 ]
[0.14409688 0.80210114]
[0.79971655 0.1944795 ]
[0.53056665 0.17546553]
[0.50229091 0.82369764]
[0.39427334 0.2477296 ]
[0.67783915 0.5334105 ]
[0.18721951 0.30517401]
[0.65587923 0.72931825]
[0.15023414 0.70560948]
[0.42596215 0.44372488]
[0.17976426 0.91487509]
[0.24195115 0.80727359]
[0.42862367 0.37586892]
[0.59320121 0.65082528]
[0.5921061  0.58181014]
[0.26703158 0.69518722]
[0.70933849 0.6667165 ]
[0.67566022 1.05888074]
[0.44081625 0.09829769]
[0.36281333 0.08472904]
[0.68133688 0.78869926]
[0.69691879 0.61465145]
[0.13457975 0.58158421]
[0.89883003 0.85173135]
[0.29715378 0.67548439]
[0.10898414 0.47790909]
[0.68788195 0.21747042]
[0.31366363 0.28160835]
[0.12335049 0.91086672]
[0.2084234  0.53320397]
[0.12862089 0.76808978]
[0.19386083 0.31899778]
[0.59293311 0.78680989]
[0.20160745 0.14708314]
[0.27499001 0.23683962]
[0.89731092 0.57745535]
[0.01796997 0.74785729]
[0.84567871 0.34017744]
[0.29451933 0.66322826]
[0.53628658 0.03919326]
[0.83276733 0.42392182]
[0.39916136 0.94556278]
[0.65595112 1.01005858]
[0.62099866 0.73517568]
[0.47279654 0.0894252 ]
[0.29970469 0.5424833 ]
[0.65037082 0.48933308]
[0.07711261 0.26294328]
[0.24216594 0.29608376]
[0.23568169 0.82767424]
[0.80768414 0.45670853]
[0.77745235 0.26787921]
[0.30111179 0.57844226]
[0.4856954  0.74130053]
[0.00372161 0.60655216]
[0.62021322 0.51870766]
[ 0.55433596 -0.06495969]
[0.37372043 0.96346811]
[1.08540642 0.67359959]
[0.53308095 0.15398062]
[0.37788931 0.16119091]
[0.40926923 0.70211472]
[0.98509643 0.55082254]
[0.09434597 0.39025885]
[0.6774805  0.27890544]
[0.1089308  0.91481956]
[0.140133   0.18285055]
[0.60491475 0.49094412]
[0.41512842 0.39983299]
[0.96298847 0.86506748]
[0.83109313 0.42894342]
[0.72082181 0.6723537 ]
[0.65959341 0.81057926]
[0.52397781 0.30186104]
[0.24086963 0.80049556]
[0.35646466 0.62197106]
[0.59129076 0.23457201]
[0.64106037 0.5414926 ]
[0.18958347 0.12862288]
[0.89767198 0.39698207]
[0.60036567 0.46173552]
[0.82142444 0.46407982]
[0.82675814 0.68571492]
[0.26604661 0.60155784]
[0.9206055  0.07889947]
[ 0.76570475 -0.0134183 ]
[0.51132426 0.53204143]
[0.07912508 0.41164763]
[0.4639679 0.9806873]
[0.53076059 0.6460322 ]
[0.54646557 0.79722961]
[-0.02942872  0.50784165]
[-0.05667478  0.73780712]
[ 0.74637074 -0.02840391]
[0.86266757 0.28948396]
[0.61502663 0.54547667]
[0.4549066  0.63943629]
[0.65840477 0.06371423]
[0.55094491 0.05192694]
[0.81074453 0.51625979]
[0.55148058 0.8337463 ]
[0.64814054 0.26583166]
[0.60715235 0.7618658 ]
[0.86688957 0.54806079]
[0.72068151 0.77646849]
[0.23601187 0.29584003]
[0.48721688 0.1827456 ]
[0.272025   0.45527263]
[0.45563668 0.9919157 ]
[0.64789604 0.21348218]
[0.30972518 0.04277979]
[0.73496066 0.24425453]
[0.10642605 0.39952093]
[0.17132844 0.45908354]
[0.45922156 0.16894536]
[0.52436947 0.08531233]
[0.41303108 0.24243516]
[0.87614409 0.68262338]
[0.49058606 0.07644119]
[0.28429973 0.11019118]
[0.83270394 0.65978438]
[0.64676292 0.30871608]
[0.60038251 0.47265712]
[0.56407104 0.46258202]
[ 0.64338079 -0.00165563]
[0.838962   0.88504429]
[0.56565707 0.39181408]
[0.32074294 0.45100352]
[0.5856978  0.17862675]
[0.0690484  0.15882877]
[0.36556446 0.52221465]
[0.3976329  0.89975611]
[0.43129426 1.02859992]
[0.60231374 0.55372671]
[0.63469719 0.28938744]
[0.20974871 0.85516611]
[0.86807844 0.69723262]
[1.07564426 0.70068484]
[0.2666258  0.65831818]
[0.33371213 0.22749499]
[0.7405623  0.28406209]
[0.22785048 0.51716154]
[0.67318821 0.60991135]
[0.95058337 0.58361776]
[0.66302592 0.35892281]
[0.52014969 0.43489237]
[0.22803368 0.32850731]
[0.79794702 0.24927112]
[0.35285108 0.49010321]
[0.59002767 0.75723714]
[0.90032113 0.45357314]
[0.9051927  0.54023831]
[-0.01338214  0.64979095]
[0.18601282 0.34786319]
[0.63718807 0.35025912]
[0.29450168 0.39598777]
[0.22697519 0.31999652]
[0.17783969 0.09982546]
[0.08443914 0.29903925]
[0.52031878 0.61803038]
[0.73897901 0.47571754]
[0.64376804 0.62346024]
[0.6082847  0.72062716]
[0.78836796 0.1504185 ]
[0.21633875 0.50371096]
[0.63234334 0.47337245]
[0.42536468 0.37281862]
[0.59016007 0.64651593]
[0.6934744  0.31670976]
[0.51761543 0.11610885]
[0.50635677 0.30054732]
[0.1640996  0.36298684]
[0.28531187 0.63748994]
[0.40526702 0.6497157 ]
[0.25137789 0.53405412]
[0.48704768 0.96112388]
[0.32824557 0.86642249]
[0.659936   0.06759216]
[0.09358071 0.62135937]
[0.53565034 0.66210506]
[0.313641   0.64647226]
[0.82009485 0.22731814]
[0.75701608 0.53275322]
[0.39560975 0.70710899]
[0.17641267 0.70071242]
[0.29755675 0.90623899]
[0.40821059 0.07766917]
[0.36630447 0.74483494]
[0.56874836 0.9418328 ]
[0.63844491 0.18366828]
[0.59761038 0.77065249]
